time/time_elapsed,train/loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,rollout/exploration rate,train/learning_rate
10863,90.4520492553711,29.584090890000002,237000,58.93,800,8691718,2172804,0.05,5e-05
10948,149.39573669433594,31.850546830000006,238000,65.01,799,8758453,2189488,0.05,5e-05
11034,85.4219741821289,32.612301710000004,239000,67.21,799,8825593,2206273,0.05,5e-05
11121,65.55941009521484,34.069813700000005,240000,67.98,799,8893360,2223214,0.05,5e-05
11207,77.85671997070312,31.34639597,241000,64.97,799,8960352,2239962,0.05,5e-05
11294,73.26206970214844,31.82464352,242000,64.29,799,9027999,2256874,0.05,5e-05
11378,89.25967407226562,34.314108309999995,243000,70.98,799,9092892,2273097,0.05,5e-05
11464,83.31554412841797,32.184230979999995,244000,67.19,798,9160404,2289975,0.05,5e-05
11550,78.98657989501953,35.73989449,245000,72.72,798,9227351,2306712,0.05,5e-05
11636,88.67279052734375,32.854566170000005,246000,67.65,798,9294068,2323391,0.05,5e-05
11721,80.49502563476562,32.57613506,247000,65.25,798,9360131,2339907,0.05,5e-05
11806,73.48051452636719,35.348622989999996,248000,72.14,798,9426948,2356611,0.05,5e-05
11893,146.26947021484375,32.19856105,249000,63.68,798,9494298,2373449,0.05,5e-05
11976,78.18692016601562,32.73996034,250000,66.69,798,9559327,2389706,0.05,5e-05
12061,92.7208251953125,34.71472762,251000,71.98,798,9625062,2406140,0.05,5e-05
12145,101.42449951171875,35.557395459999995,252000,70.48,797,9690790,2422572,0.05,5e-05
12232,153.0042266845703,32.73761817,253000,65.54,797,9758196,2439423,0.05,5e-05
12316,74.37393188476562,33.67297672,254000,65.69,797,9823686,2455796,0.05,5e-05
12404,72.14220428466797,33.96693343,255000,67.31,797,9892621,2473030,0.05,5e-05
12492,97.14546966552734,34.48866204,256000,69.38,797,9960533,2490008,0.05,5e-05
