time/total_timesteps,rollout/exploration rate,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/episodes,time/fps,train/loss,rollout/ep_rew_mean,time/time_elapsed
1094120,0.4802930000000003,273404,5e-05,18.61,101000,939,0.6632592082023621,3.2859065600000004,1165
1110630,0.4724507499999999,277532,5e-05,15.56,102000,937,0.6632922291755676,2.8630446999999997,1184
1127600,0.4643900000000002,281774,5e-05,18.07,103000,936,0.9715775847434998,3.2036121599999996,1204
1144233,0.45648932500000006,285933,5e-05,17.64,104000,935,1.15863037109375,2.9247555400000005,1223
1162438,0.44784195000000004,290484,5e-05,17.26,105000,933,0.5031222701072693,2.9348433899999997,1244
1180431,0.4392952750000003,294982,5e-05,18.79,106000,932,0.8189594745635986,3.1910260299999997,1265
1198354,0.4307818499999999,299463,5e-05,17.69,107000,930,0.6983831524848938,3.30859978,1287
1218101,0.4214020249999999,304400,5e-05,20.68,108000,929,0.8869692087173462,4.47765649,1310
1236902,0.41247155000000024,309100,5e-05,17.59,109000,927,0.8096007108688354,3.80597,1332
1257461,0.4027060250000002,314240,5e-05,21.76,110000,926,1.4836523532867432,4.301289000000001,1357
1277221,0.3933200250000003,319180,5e-05,17.33,111000,925,2.3276238441467285,3.277354930000001,1380
1298331,0.3832927749999999,324457,5e-05,21.49,112000,923,1.3163007497787476,4.28929471,1405
1319081,0.37343652500000013,329645,5e-05,21.06,113000,922,3.347977876663208,4.2909622,1430
1340680,0.3631770000000002,335044,5e-05,21.98,114000,920,1.2765804529190063,4.59669767,1456
1364674,0.3517798499999999,341043,5e-05,27.2,115000,919,1.4675393104553223,6.58083134,1484
1387434,0.3409688500000002,346733,5e-05,21.07,116000,917,0.9626215100288391,5.61308214,1512
1410905,0.329820125,352601,5e-05,22.46,117000,915,0.9608824849128723,5.86245952,1540
1433443,0.3191145750000002,358235,5e-05,24.74,118000,914,1.0204336643218994,6.136778290000002,1567
1460120,0.306443,364904,5e-05,28.96,119000,912,1.584299921989441,7.70478437,1599
1486219,0.2940459750000002,371429,5e-05,28.52,120000,910,2.246901273727417,7.910259440000001,1631
1514588,0.28057070000000006,378521,5e-05,31.39,121000,908,1.4644317626953125,9.36854401,1666
1543661,0.26676102499999976,385790,5e-05,27.41,122000,907,1.459769606590271,8.19928419,1701
1575620,0.2515805000000001,393779,5e-05,33.39,123000,905,2.13504958152771,10.610628160000001,1740
1607859,0.23626697499999982,401839,5e-05,27.97,124000,903,1.6088628768920898,9.19560907,1780
1641396,0.2203369000000004,410223,5e-05,30.29,125000,900,3.4815993309020996,10.87064203,1822
1679670,0.2021567500000001,419792,5e-05,37.95,126000,898,2.7481400966644287,14.05148965,1869
1719292,0.1833363,429697,5e-05,42.45,127000,896,2.87288761138916,14.79000511,1918
1763039,0.16255647500000026,440634,5e-05,46.37,128000,893,2.849278450012207,15.167670909999996,1972
1815473,0.13765032500000018,453743,5e-05,56.05,129000,890,5.970923900604248,20.0149021,2038
1877230,0.10831575000000027,469182,5e-05,71.99,130000,886,5.217643737792969,26.690471029999998,2116
1957148,0.07035470000000033,489161,5e-05,107.08,131000,882,25.834280014038086,40.71766409,2218
2065099,0.05,516149,5e-05,112.99,132000,876,44.55095672607422,44.71589626,2355
2178913,0.05,544603,5e-05,111.01,133000,871,94.1622085571289,46.322407379999994,2499
